         nH         pok         xH2        xHII          xe      chi_pe      chi_lw      chi_h2      chi_ci       xi_cr     nLambda       Gamma 
3.98107e-01 2.91401e+03 9.79308e-10 1.38469e-02 1.38633e-02 9.71030e-01 9.42899e-01 9.42663e-01 9.42898e-01 2.00000e-17 1.50688e-27 1.50886e-27 
4.46684e-01 3.07883e+03 1.20057e-09 1.27494e-02 1.27658e-02 9.70027e-01 9.40953e-01 9.40669e-01 9.40952e-01 2.00000e-17 1.55044e-27 1.55147e-27 
5.01187e-01 3.15399e+03 1.53834e-09 1.15988e-02 1.16152e-02 9.68990e-01 9.38942e-01 9.38586e-01 9.38942e-01 2.00000e-17 1.59381e-27 1.59617e-27 
5.62341e-01 3.15981e+03 2.03369e-09 1.04626e-02 1.04790e-02 9.67918e-01 9.36866e-01 9.36399e-01 9.36865e-01 2.00000e-17 1.64046e-27 1.64250e-27 
6.30957e-01 3.13167e+03 2.72719e-09 9.39988e-03 9.41618e-03 9.66810e-01 9.34721e-01 9.34097e-01 9.34720e-01 2.00000e-17 1.69037e-27 1.69148e-27 
7.07946e-01 3.07875e+03 3.69374e-09 8.42171e-03 8.43798e-03 9.65664e-01 9.32506e-01 9.31656e-01 9.32505e-01 2.00000e-17 1.74091e-27 1.74514e-27 
7.94328e-01 3.00750e+03 5.03770e-09 7.52674e-03 7.54298e-03 9.64479e-01 9.30219e-01 9.29045e-01 9.30218e-01 2.00000e-17 1.79877e-27 1.80038e-27 
8.91251e-01 2.91920e+03 6.91374e-09 6.71323e-03 6.72945e-03 9.63253e-01 9.27857e-01 9.26217e-01 9.27856e-01 2.00000e-17 1.85941e-27 1.85968e-27 
1.00000e+00 2.81911e+03 9.52284e-09 5.97784e-03 5.99403e-03 9.61987e-01 9.25419e-01 9.23111e-01 9.25418e-01 2.00000e-17 1.92296e-27 1.92367e-27 
1.12202e+00 2.71227e+03 1.31276e-08 5.31708e-03 5.33325e-03 9.60678e-01 9.22902e-01 9.19644e-01 9.22900e-01 2.00000e-17 1.99056e-27 1.99172e-27 
1.25893e+00 2.60364e+03 1.80575e-08 4.72662e-03 4.74277e-03 9.59324e-01 9.20303e-01 9.15705e-01 9.20301e-01 2.00000e-17 2.06242e-27 2.06380e-27 
1.41254e+00 2.49773e+03 2.47082e-08 4.20156e-03 4.21769e-03 9.57925e-01 9.17621e-01 9.11161e-01 9.17619e-01 2.00000e-17 2.13861e-27 2.13982e-27 
1.58489e+00 2.39829e+03 3.35338e-08 3.73658e-03 3.75270e-03 9.56479e-01 9.14853e-01 9.05846e-01 9.14851e-01 2.00000e-17 2.21901e-27 2.21966e-27 
1.77828e+00 2.30773e+03 4.50410e-08 3.32616e-03 3.34226e-03 9.54985e-01 9.11996e-01 8.99570e-01 9.11994e-01 2.00000e-17 2.30335e-27 2.30296e-27 
1.99526e+00 2.22858e+03 5.97474e-08 2.96362e-03 2.97971e-03 9.53440e-01 9.09049e-01 8.92126e-01 9.09045e-01 2.00000e-17 2.39036e-27 2.39138e-27 
2.23872e+00 2.15890e+03 7.82923e-08 2.64468e-03 2.66076e-03 9.51844e-01 9.06008e-01 8.83265e-01 9.06004e-01 2.00000e-17 2.48165e-27 2.48096e-27 
2.51189e+00 2.10104e+03 1.01221e-07 2.36254e-03 2.37862e-03 9.50195e-01 9.02870e-01 8.72753e-01 9.02866e-01 2.00000e-17 2.57512e-27 2.57517e-27 
2.81838e+00 2.05380e+03 1.29202e-07 2.11351e-03 2.12958e-03 9.48490e-01 8.99634e-01 8.60324e-01 8.99629e-01 2.00000e-17 2.67177e-27 2.67129e-27 
