         nH         pok         xH2        xHII          xe      chi_pe      chi_lw      chi_h2      chi_ci       xi_cr     nLambda       Gamma 
3.98107e-01 2.25410e+03 1.33373e-08 1.11450e-02 1.11613e-02 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.05210e-27 1.05923e-27 
4.46684e-01 2.02083e+03 2.05496e-08 9.60430e-03 9.62061e-03 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.05065e-27 1.05446e-27 
5.01187e-01 1.77453e+03 3.23897e-08 8.22662e-03 8.24288e-03 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.04867e-27 1.04963e-27 
5.62341e-01 1.53546e+03 5.15856e-08 7.02133e-03 7.03755e-03 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.04474e-27 1.04578e-27 
6.30957e-01 1.31987e+03 8.17040e-08 5.98610e-03 6.00229e-03 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.04208e-27 1.04275e-27 
7.07946e-01 1.13662e+03 1.26634e-07 5.11231e-03 5.12847e-03 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.04064e-27 1.04084e-27 
7.94328e-01 9.90799e+02 1.88935e-07 4.36588e-03 4.38202e-03 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.04015e-27 1.04310e-27 
8.91251e-01 8.73340e+02 2.71091e-07 3.77006e-03 3.78617e-03 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.04107e-27 1.04257e-27 
1.00000e+00 7.81065e+02 3.72720e-07 3.27546e-03 3.29156e-03 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.04304e-27 1.04265e-27 
1.12202e+00 7.10948e+02 4.91052e-07 2.85382e-03 2.86990e-03 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.04534e-27 1.04534e-27 
1.25893e+00 6.58177e+02 6.23269e-07 2.49990e-03 2.51597e-03 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.04865e-27 1.04863e-27 
1.41254e+00 6.19127e+02 7.66831e-07 2.20056e-03 2.21662e-03 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.05245e-27 1.05245e-27 
1.58489e+00 5.90874e+02 9.20226e-07 1.94534e-03 1.96139e-03 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.05664e-27 1.05663e-27 
1.77828e+00 5.71242e+02 1.08298e-06 1.72542e-03 1.74146e-03 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.06123e-27 1.06119e-27 
1.99526e+00 5.58542e+02 1.25553e-06 1.53543e-03 1.55146e-03 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.06584e-27 1.06582e-27 
2.23872e+00 5.51624e+02 1.43895e-06 1.36929e-03 1.38532e-03 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.07071e-27 1.07071e-27 
2.51189e+00 5.49588e+02 1.63477e-06 1.22357e-03 1.23959e-03 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.07571e-27 1.07568e-27 
2.81838e+00 5.51803e+02 1.84486e-06 1.09514e-03 1.11116e-03 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.08077e-27 1.08069e-27 
3.16228e+00 5.57815e+02 2.07133e-06 9.81813e-04 9.97825e-04 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.08563e-27 1.08561e-27 
3.54813e+00 5.67337e+02 2.31652e-06 8.80788e-04 8.96795e-04 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.09069e-27 1.09068e-27 
3.98107e+00 5.80158e+02 2.58294e-06 7.90730e-04 8.06733e-04 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.09578e-27 1.09577e-27 
4.46684e+00 5.96175e+02 2.87337e-06 7.09995e-04 7.25993e-04 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.10110e-27 1.10101e-27 
5.01187e+00 6.15332e+02 3.19079e-06 6.37979e-04 6.53972e-04 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.10620e-27 1.10615e-27 
5.62341e+00 6.37656e+02 3.53849e-06 5.73396e-04 5.89384e-04 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.11134e-27 1.11132e-27 
6.30957e+00 6.63222e+02 3.92006e-06 5.15386e-04 5.31371e-04 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.11655e-27 1.11654e-27 
7.07946e+00 6.92151e+02 4.33945e-06 4.63202e-04 4.79182e-04 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.12187e-27 1.12186e-27 
7.94328e+00 7.24609e+02 4.80104e-06 4.16200e-04 4.32176e-04 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.12733e-27 1.12732e-27 
8.91251e+00 7.60811e+02 5.30967e-06 3.73782e-04 3.89754e-04 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.13304e-27 1.13302e-27 
1.00000e+01 8.00998e+02 5.87066e-06 3.35694e-04 3.51662e-04 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.13877e-27 1.13876e-27 
1.12202e+01 8.45476e+02 6.48997e-06 3.01340e-04 3.17303e-04 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.14477e-27 1.14475e-27 
1.25893e+01 8.94595e+02 7.17423e-06 2.70308e-04 2.86267e-04 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.15114e-27 1.15111e-27 
1.41254e+01 9.48732e+02 7.93075e-06 2.42419e-04 2.58373e-04 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.15768e-27 1.15767e-27 
1.58489e+01 1.00834e+03 8.76775e-06 2.17262e-04 2.33211e-04 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.16467e-27 1.16465e-27 
1.77828e+01 1.07393e+03 9.69435e-06 1.94573e-04 2.10518e-04 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.17214e-27 1.17213e-27 
1.99526e+01 1.14605e+03 1.07207e-05 1.74166e-04 1.90105e-04 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.18008e-27 1.18007e-27 
2.23872e+01 1.22535e+03 1.18582e-05 1.55768e-04 1.71702e-04 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.18869e-27 1.18866e-27 
2.51189e+01 1.31251e+03 1.31194e-05 1.39235e-04 1.55163e-04 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.19790e-27 1.19789e-27 
2.81838e+01 1.40835e+03 1.45185e-05 1.24355e-04 1.40276e-04 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.20794e-27 1.20794e-27 
3.16228e+01 1.51374e+03 1.60714e-05 1.10980e-04 1.26895e-04 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.21889e-27 1.21888e-27 
3.54813e+01 1.62968e+03 1.77957e-05 9.89655e-05 1.14874e-04 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.23084e-27 1.23083e-27 
3.98107e+01 1.75726e+03 1.97111e-05 8.81809e-05 1.04081e-04 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.24395e-27 1.24394e-27 
4.46684e+01 1.89774e+03 2.18397e-05 7.85062e-05 9.43979e-05 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.25835e-27 1.25834e-27 
5.01187e+01 2.05250e+03 2.42064e-05 6.98351e-05 8.57174e-05 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.27421e-27 1.27420e-27 
5.62341e+01 2.22310e+03 2.68387e-05 6.20685e-05 7.79404e-05 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.29169e-27 1.29169e-27 
6.30957e+01 2.41127e+03 2.97677e-05 5.51188e-05 7.09793e-05 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.31101e-27 1.31101e-27 
7.07946e+01 2.61898e+03 3.30281e-05 4.89047e-05 6.47525e-05 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.33239e-27 1.33237e-27 
7.94328e+01 2.84841e+03 3.66590e-05 4.33540e-05 5.91875e-05 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.35601e-27 1.35601e-27 
8.91251e+01 3.10203e+03 4.07041e-05 3.84003e-05 5.42179e-05 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.38221e-27 1.38220e-27 
1.00000e+02 3.38261e+03 4.52124e-05 3.39837e-05 4.97834e-05 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.41121e-27 1.41121e-27 
1.12202e+02 3.69327e+03 5.02390e-05 3.00503e-05 4.58298e-05 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.44338e-27 1.44338e-27 
1.25893e+02 4.03753e+03 5.58458e-05 2.65508e-05 4.23075e-05 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.47906e-27 1.47905e-27 
1.41254e+02 4.41933e+03 6.21022e-05 2.34411e-05 3.91719e-05 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.51861e-27 1.51861e-27 
1.58489e+02 4.84314e+03 6.90865e-05 2.06809e-05 3.63823e-05 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.56249e-27 1.56249e-27 
1.77828e+02 5.31402e+03 7.68863e-05 1.82339e-05 3.39020e-05 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.61118e-27 1.61117e-27 
1.99526e+02 5.83767e+03 8.56007e-05 1.60672e-05 3.16974e-05 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.66518e-27 1.66518e-27 
2.23872e+02 6.42057e+03 9.53410e-05 1.41512e-05 2.97382e-05 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.72512e-27 1.72512e-27 
2.51189e+02 7.07007e+03 1.06233e-04 1.24589e-05 2.79967e-05 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.79166e-27 1.79165e-27 
2.81838e+02 7.79453e+03 1.18417e-04 1.09659e-05 2.64477e-05 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.86553e-27 1.86553e-27 
3.16228e+02 8.60350e+03 1.32055e-04 9.65035e-06 2.50683e-05 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.94761e-27 1.94760e-27 
3.54813e+02 9.50787e+03 1.47326e-04 8.49223e-06 2.38376e-05 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 2.03884e-27 2.03883e-27 
3.98107e+02 1.05202e+04 1.64435e-04 7.47364e-06 2.27365e-05 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 2.14032e-27 2.14031e-27 
4.46684e+02 1.16547e+04 1.83614e-04 6.57846e-06 2.17477e-05 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 2.25329e-27 2.25328e-27 
5.01187e+02 1.29281e+04 2.05124e-04 5.79219e-06 2.08554e-05 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 2.37919e-27 2.37919e-27 
5.62341e+02 1.43595e+04 2.29266e-04 5.10186e-06 2.00453e-05 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 2.51966e-27 2.51965e-27 
6.30957e+02 1.59711e+04 2.56378e-04 4.49590e-06 1.93045e-05 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 2.67658e-27 2.67657e-27 
7.07946e+02 1.77888e+04 2.86847e-04 3.96404e-06 1.86213e-05 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 2.85211e-27 2.85209e-27 
7.94328e+02 1.98428e+04 3.21114e-04 3.49714e-06 1.79851e-05 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 3.04872e-27 3.04872e-27 
8.91251e+02 2.21685e+04 3.59686e-04 3.08717e-06 1.73865e-05 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 3.26933e-27 3.26933e-27 
1.00000e+03 2.48077e+04 4.03139e-04 2.72702e-06 1.68173e-05 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 3.51724e-27 3.51723e-27 
1.12202e+03 2.78095e+04 4.52137e-04 2.41048e-06 1.62699e-05 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 3.79629e-27 3.79628e-27 
1.25893e+03 3.12323e+04 5.07443e-04 2.13209e-06 1.57382e-05 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 4.11093e-27 4.11092e-27 
1.41254e+03 3.51456e+04 5.69933e-04 1.88708e-06 1.52166e-05 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 4.46633e-27 4.46632e-27 
1.58489e+03 3.96323e+04 6.40621e-04 1.67128e-06 1.47006e-05 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 4.86851e-27 4.86849e-27 
1.77828e+03 4.47921e+04 7.20676e-04 1.48105e-06 1.41867e-05 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 5.32446e-27 5.32446e-27 
1.99526e+03 5.07453e+04 8.11453e-04 1.31324e-06 1.36722e-05 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 5.84242e-27 5.84242e-27 
2.23872e+03 5.76376e+04 9.14527e-04 1.16507e-06 1.31551e-05 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 6.43201e-27 6.43201e-27 
2.51189e+03 6.56468e+04 1.03173e-03 1.03414e-06 1.26344e-05 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 7.10456e-27 7.10455e-27 
2.81838e+03 7.49906e+04 1.16519e-03 9.18357e-07 1.21098e-05 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 7.87346e-27 7.87346e-27 
3.16228e+03 8.59380e+04 1.31741e-03 8.15881e-07 1.15818e-05 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 8.75462e-27 8.75460e-27 
3.54813e+03 9.88227e+04 1.49132e-03 7.25119e-07 1.10513e-05 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 9.76692e-27 9.76691e-27 
3.98107e+03 1.14062e+05 1.69034e-03 6.44674e-07 1.05199e-05 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.09330e-26 1.09330e-26 
4.46684e+03 1.32180e+05 1.91852e-03 5.73325e-07 9.98960e-06 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.22801e-26 1.22801e-26 
5.01187e+03 1.53839e+05 2.18060e-03 5.10004e-07 9.46263e-06 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.38410e-26 1.38410e-26 
5.62341e+03 1.79872e+05 2.48213e-03 4.53774e-07 8.94143e-06 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.56550e-26 1.56549e-26 
6.30957e+03 2.11324e+05 2.82954e-03 4.03812e-07 8.42842e-06 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.77694e-26 1.77694e-26 
7.07946e+03 2.49477e+05 3.23010e-03 3.59395e-07 7.92585e-06 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 2.02403e-26 2.02403e-26 
7.94328e+03 2.95825e+05 3.69170e-03 3.19884e-07 7.43554e-06 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 2.31324e-26 2.31323e-26 
8.91251e+03 3.51974e+05 4.22229e-03 2.84715e-07 6.95877e-06 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 2.65170e-26 2.65169e-26 
1.00000e+04 4.19434e+05 4.82923e-03 2.53393e-07 6.49617e-06 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 3.04693e-26 3.04693e-26 
1.12202e+04 4.99377e+05 5.51876e-03 2.25481e-07 6.04795e-06 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 3.50662e-26 3.50662e-26 
1.25893e+04 5.92582e+05 6.29645e-03 2.00598e-07 5.61436e-06 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 4.03889e-26 4.03889e-26 
1.41254e+04 6.99583e+05 7.16822e-03 1.78410e-07 5.19611e-06 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 4.65311e-26 4.65311e-26 
1.58489e+04 8.21126e+05 8.14196e-03 1.58627e-07 4.79447e-06 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 5.36118e-26 5.36118e-26 
1.77828e+04 9.58292e+05 9.22766e-03 1.40990e-07 4.41088e-06 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 6.17805e-26 6.17805e-26 
1.99526e+04 1.11279e+06 1.04380e-02 1.25269e-07 4.04679e-06 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 7.12275e-26 7.12275e-26 
